Date,ABG,ANG,APN,ARI,CLH,CLS,CPI,DSY,FBR,IMP,MTN,NED,NPN,REM,SOL,WHI,DSY,BTI,FSR,SBK
1/2/2007,5141.451172,27695.32813,2834.895752,4322.868652,888.023743,758.614075,2345.600342,2111.960205,953.468628,11986.01367,4327.550781,6049.800781,9423.589844,2238.894775,15714.625,846.441528,2111.960205,10234.94727,791.619995,4591.880371
1/3/2007,5100.968262,27035.9082,2821.851807,4175.332031,868.142639,756.531738,2446.874512,2097.30957,967.337158,11471.10059,4260.815918,6049.800781,9423.589844,2221.818359,15099.9668,835.583923,2097.30957,10156.88574,774.496338,4487.739258
1/4/2007,4973.846191,26483.65234,2780.111572,3987.363037,861.515564,748.896973,2412.889648,2105.02124,967.337158,10897.5459,4196.646484,6038.365723,9563.823242,2156.802002,14618.53418,830.390991,2105.02124,9859.668945,754.518311,4383.597656
1/5/2007,5007.854004,26170.43555,2781.850342,3957.253662,861.383057,742.650452,2412.889648,2096.538574,977.738708,10762.21289,4147.87793,6084.108887,9535.214844,2148.453613,14473.20117,830.863098,2096.538574,9821.504883,778.063599,4432.035645
1/8/2007,4926.885742,26611.41602,2782.719971,3871.225586,848.261475,742.650452,2409.491943,2094.996582,977.738708,11148.23438,4209.480469,6038.365723,9339.451172,2220.628174,14467.14453,835.583923,2094.996582,9766.569336,792.333679,4478.050781
1/9/2007,5080.726074,26830.67383,2794.894531,3849.719727,854.755798,746.12085,2446.874512,2135.862793,984.673157,11261.65625,4181.245605,6084.108887,9249.703125,2250.86792,14167.38477,849.746216,2135.862793,9899.564453,824.083923,4735.255371
1/10/2007,5035.788574,26624.60352,2765.327881,3785.198486,848.261475,749.591248,2446.874512,2194.464355,998.541748,11168.21387,4124.777832,5969.745117,8918.754883,2241.006592,13986.92578,849.746216,2194.464355,9856.195313,811.597961,4698.443359
1/11/2007,5019.999512,26739.17578,2774.023926,3705.623047,866.287048,753.061279,2480.858887,2201.404053,1036.68042,11342.21191,4224.882324,6036.077148,9000.09082,2266.64502,13928.18652,852.106689,2201.404053,9968.954102,808.030334,4698.443359
1/12/2007,5080.726074,26542.18359,2764.458496,3828.212646,895.975952,763.472412,2460.468262,2220.681152,1046.388428,11793.32227,4283.915527,6047.515137,8907.537109,2285.051025,13868.23633,861.548401,2220.681152,10049.90918,806.246704,4698.443359
1/15/2007,5262.902344,26879.30469,2760.97998,3869.074951,910.555847,770.413147,2460.468262,2286.22168,1047.082031,12244.43359,4381.453613,6176.05957,9030.942383,2287.680664,14103.80176,888.928894,2286.22168,10061.47363,824.083923,4820.022461
1/16/2007,5388.403809,26878.48438,2769.675781,3814.87793,927.785889,784.294128,2446.874512,2344.822998,1067.884766,12353.98828,4363.485352,6321.98584,9367.498047,2313.844727,13840.37402,911.116882,2344.822998,10176.54102,838.354126,4867.974121
1/17/2007,5343.870605,27036.73633,2774.023926,3733.582764,923.146912,814.139221,2446.874512,2371.039307,1050.54895,12276.65918,4332.68457,6356.294922,9367.498047,2325.677246,13558.78223,951.243896,2371.039307,10228.58789,838.354126,4867.974121
