ABG,ANG,ANH,ARI,CLH,FBR,MSM,MTN,NPN,SOL
Date,Adj_Close,Adj_Close,Adj_Close,Adj_Close,Adj_Close,Adj_Close,Adj_Close,Adj_Close,Adj_Close,Adj_Close
2019/03/01,14200.49609,18788.13281,115497.9844,11944.75488,2410.065186,8792.501953,8703.264648,6813.001953,196586.3125,40337.70703
2019/03/04,14055.12598,17534.64844,115532.7422,11390.12793,2352.454102,8731.904297,8832.929688,6726.76123,203149.9375,40445.18359
2019/03/05,13982.04004,17594.02539,115142.5,11064.61621,2342.852051,8395.68457,8840.788086,6662.943359,203021.2344,40387.67969
2019/03/06,13910.55859,17974.78125,115560.5547,10755.16992,2332.871094,8209.983398,8791.672852,6559.455078,206904.0469,40619.60156
2019/03/07,13850.32227,17484.69727,114670.7969,10750.2793,2368.099121,8253.964844,8789.708008,7744.399414,201412.5,40774.21484
2019/03/08,13842.29102,18093.5332,115598.2813,10819.43359,2398.434326,8522.744141,8840.788086,7752.160645,197653.8594,39788.07031
2019/03/11,13412.60547,17231.17383,115150.4219,10811.05273,2447.557617,8372.228516,8852.576172,8013.470703,202476.1875,40081.27344
2019/03/12,13386.90527,17336.72852,114792.9531,10792.19141,2485.525391,7820.009277,8890.885742,8184.226074,201195,39887.0625
2019/03/13,12795.78711,17713.71875,115097.8047,10913.73535,2489.439697,8307.72168,8840.788086,8294.613281,203459.4531,40492.28125
2019/03/14,12994.96777,17889.01758,115190.1563,11213.40137,2524.667725,8575.522461,8840.788086,8114.371094,202326.25,41758.17188
2019/03/15,13276.06934,18653.35938,116203.0391,11331.4502,2586.31665,8605.821289,8615.839844,8191.987793,202442.0938,40555.38281
2019/03/18,13422.24316,18764.57031,117970.6016,11374.06055,2563.809814,8698.672852,8346.686523,8129.894531,208091.2969,41734.26953
2019/03/19,12889.75586,18423.6582,121148.2578,11469.75977,2572.616943,8687.920898,8064.763672,7971.211914,209777.875,43200.94531
2019/03/20,12472.91895,18259.82617,118577.3359,11267.1875,2459.104492,8339.974609,7662.016602,8064.351563,206025.0469,42991.55469
2019/03/22,12198.24219,19491.85742,117908.0391,11670.93457,2446.579102,8324.335938,7760.247559,8063.489258,210936.1563,43216.24219
2019/03/25,12075.36035,19646.2207,114532.7734,11310.49707,2395.498779,8137.657227,7761.22998,7813.391602,207562.9844,42101.41406
2019/03/26,12093.83301,19444.50977,117745.1953,11592.69922,2391.193115,8488.536133,7774,7804.767578,207203.9219,42502.02734
2019/03/27,12248.03809,19371.58984,119868.2734,11765.93359,2407.241455,8421.09668,7853,7692.95166,212254.6563,42974.34766
2019/03/28,12151.65918,18276.87109,120847.3828,11696.08008,2348.723633,8186.526367,7800,7750.202148,212608.5938,43383.5625
2019/03/29,12215.91113,18143.34766,120262.4922,11853.94629,2338.938232,8317.495117,7950,7927.317871,214420,43025.01953
2019/04/01,12770.08496,17453.93945,117589.2734,12004.8291,2426.812256,8365.386719,8241,8169.73584,215310.5938,42970.51953
2019/04/02,12684.95117,17393.33203,118412.4922,12135.45215,2407.241455,8356.59082,8124,8049.869141,218014.5313,43025.01953
2019/04/03,13219.84863,17683.11133,118283.3906,12583.74805,2385.321533,8337.042969,8135,8028.399902,222647.6719,44076.74219
2019/04/04,13174.06934,17420.79297,118967.5938,12584.46387,2424.659668,8502.219727,8075,8262.766602,223291.1563,44410.42578
2019/04/05,13320.24316,17692.58203,121513.6953,12632.36719,2364.968018,8446.508789,8100,8150.950684,224043.4063,44688.65234
2019/04/08,13170.85645,18320.43359,120651.7578,12726.74414,2348.528076,8560.862305,7991,8221.619141,225092.9688,44879.875
2019/04/09,13116.24414,18480.47656,120651.7578,12771.78906,2317.99707,8112.245117,8090,8238.614258,226832.3125,44540.45703
2019/04/10,13455.19043,18155.6582,120224.7422,12512.25,2369.860596,8112.245117,8200,8350.430664,231763.3594,44681.00391
